Job Title,Years of Experience,Department,Salary Range,Work Location,Training Hours,Satisfaction Score,Last Evaluation Score,Average Monthly Hours,Attrition
Manager,9,Sales,Medium,Remote,38,2,4,290,0
Consultant,24,Marketing,Medium,Remote,28,6,0,176,0
Assistant,28,Marketing,Medium,Remote,26,5,4,117,0
Assistant,24,Sales,Low,Office,68,0,9,144,0
Assistant,30,Engineering,High,Office,8,8,7,207,0
Assistant,20,Customer Support,Low,Remote,23,1,6,266,0
Assistant,13,Marketing,High,Office,62,2,10,125,0
Executive,2,Marketing,Low,Remote,18,4,2,211,0
Director,17,Engineering,Medium,Office,96,2,8,200,0
Assistant,23,Marketing,Medium,Office,29,2,10,174,0
Manager,14,Engineering,High,Remote,57,7,9,195,0
Manager,5,Engineering,Low,Remote,39,3,6,123,0
Manager,9,Sales,Medium,Office,67,9,0,216,0
Manager,26,Marketing,High,Remote,31,1,5,285,0
Executive,11,Customer Support,Low,Office,64,4,3,204,0
Manager,6,Engineering,High,Remote,33,1,5,277,0
Assistant,16,Customer Support,Low,Office,84,9,2,299,1
Consultant,0,Sales,Low,Office,30,10,4,138,0
Manager,25,Marketing,Low,Office,58,7,2,299,1
Executive,17,Sales,High,Remote,77,2,6,210,0
Executive,25,Sales,High,Office,25,1,4,258,0
Manager,14,Customer Support,Low,Remote,21,2,3,182,0
Consultant,18,Customer Support,Medium,Remote,33,2,9,263,0
Manager,27,Engineering,Low,Remote,96,0,6,266,1
Executive,0,Marketing,High,Remote,12,2,6,120,0
Director,29,Sales,Low,Remote,95,2,9,122,0
Assistant,4,Engineering,High,Office,54,3,8,153,0
Executive,14,Engineering,Low,Remote,7,7,2,263,0
Manager,30,Sales,Low,Remote,61,8,10,242,1
Assistant,2,Sales,Medium,Office,21,0,10,229,0
Manager,0,Engineering,Medium,Office,55,0,9,175,0
Manager,7,Sales,High,Remote,83,5,7,169,0
Director,11,Sales,Low,Remote,20,0,6,265,0
Assistant,26,Customer Support,High,Remote,97,4,8,164,0
Assistant,21,Marketing,Low,Office,48,0,1,149,0
Director,24,Engineering,Low,Remote,93,7,5,216,0
Executive,18,Sales,Low,Remote,5,4,4,186,0
Manager,24,Engineering,Medium,Office,34,5,2,100,0
Consultant,24,Marketing,High,Office,26,3,6,120,0
Manager,30,Engineering,Low,Office,83,7,4,156,0
Manager,11,Engineering,Low,Remote,39,8,5,246,0
Executive,30,Engineering,High,Remote,13,8,3,128,0
Manager,12,Customer Support,High,Remote,73,0,6,277,0
Director,27,Marketing,Low,Office,51,6,6,133,0
Director,0,Marketing,Medium,Office,78,3,4,180,0
Assistant,18,Engineering,Medium,Remote,39,9,6,153,0
Consultant,5,Engineering,Low,Office,42,10,6,131,0
Manager,7,Marketing,Medium,Office,57,7,9,231,0
Manager,3,Sales,High,Office,2,6,7,129,0
Executive,4,Customer Support,Medium,Office,14,0,10,194,0
Director,24,Marketing,High,Remote,44,0,0,245,0
Consultant,21,Engineering,High,Remote,94,0,3,168,0
Assistant,27,Sales,High,Office,10,1,10,128,0
Director,6,Sales,High,Office,38,9,0,239,0
Assistant,22,Sales,Medium,Office,18,1,2,114,0
Executive,3,Customer Support,High,Office,78,8,7,178,0
Executive,19,Customer Support,Low,Office,19,4,6,152,0
Manager,3,Marketing,High,Remote,85,0,2,262,0
Consultant,29,Marketing,Low,Office,70,6,3,279,1
Assistant,14,Marketing,High,Remote,55,9,1,280,0
Director,26,Marketing,High,Remote,77,1,1,241,0
Executive,20,Engineering,Medium,Office,3,2,4,202,0
Manager,4,Customer Support,High,Remote,8,3,1,245,0
Manager,23,Sales,High,Office,24,2,10,265,0
Assistant,8,Engineering,Medium,Office,46,2,6,185,0
Executive,1,Marketing,Medium,Office,98,8,0,265,0
Consultant,26,Marketing,Low,Remote,100,3,8,154,0
Executive,6,Engineering,Medium,Remote,48,7,9,238,0
Assistant,16,Sales,Low,Remote,26,0,0,166,0
Assistant,15,Customer Support,High,Office,27,5,10,152,0
Executive,16,Customer Support,Low,Remote,87,0,0,271,0
Assistant,19,Sales,Medium,Remote,96,4,8,252,1
Executive,25,Customer Support,High,Remote,96,6,6,289,1
Director,22,Marketing,Low,Office,61,0,9,241,0
Executive,1,Marketing,Low,Remote,15,8,3,146,0
Executive,10,Marketing,Low,Office,86,10,2,194,0
Assistant,1,Marketing,High,Remote,45,8,4,188,0
Assistant,0,Sales,Low,Remote,74,5,1,282,0
Manager,25,Customer Support,Low,Remote,45,1,5,239,0
Manager,1,Customer Support,Medium,Office,39,1,5,106,0
Director,28,Engineering,Low,Office,82,8,0,276,1
Manager,30,Sales,High,Remote,33,3,9,241,0
Executive,22,Customer Support,Medium,Remote,86,5,8,256,1
Assistant,8,Customer Support,High,Office,9,9,0,274,0
Manager,21,Engineering,Medium,Office,100,1,5,241,0
Manager,25,Marketing,Medium,Remote,0,3,6,278,0
Director,1,Customer Support,Low,Remote,65,1,7,241,0
Director,27,Marketing,High,Office,85,2,1,186,0
Executive,14,Engineering,Low,Remote,16,1,10,235,0
Assistant,9,Customer Support,Medium,Office,46,7,7,176,0
Director,14,Marketing,Low,Remote,23,4,10,199,0
Manager,9,Sales,Medium,Remote,49,4,9,207,0
Assistant,28,Marketing,Medium,Remote,84,7,1,164,0
Assistant,24,Marketing,High,Remote,28,10,1,136,0
Manager,22,Marketing,High,Office,77,7,8,295,1
Director,26,Marketing,High,Remote,71,6,6,115,0
Manager,16,Sales,High,Remote,93,4,7,247,1
Assistant,27,Engineering,Low,Remote,85,6,0,294,1
Consultant,8,Marketing,High,Remote,86,0,9,211,0
Consultant,17,Marketing,High,Remote,12,2,5,298,0
Executive,3,Customer Support,High,Remote,63,2,0,131,0
Manager,8,Customer Support,Medium,Office,27,1,4,296,0
Manager,15,Sales,Medium,Remote,93,5,1,184,0
Executive,3,Sales,High,Office,4,2,8,257,0
Executive,15,Sales,Medium,Office,73,3,2,247,0
Executive,18,Customer Support,Medium,Office,8,2,9,285,0
Assistant,0,Marketing,Low,Office,13,6,6,128,0
Manager,22,Customer Support,Medium,Remote,9,3,1,251,0
Assistant,30,Engineering,Low,Remote,32,4,9,228,0
Executive,5,Sales,Medium,Remote,74,6,3,126,0
Manager,9,Sales,High,Office,39,3,9,120,0
Assistant,15,Sales,Medium,Remote,5,5,2,244,0
Assistant,3,Engineering,Medium,Office,16,8,0,191,0
Executive,21,Marketing,Low,Office,35,5,9,259,0
Manager,21,Marketing,High,Remote,69,4,5,271,1
Executive,12,Marketing,Low,Office,60,0,4,213,0
Manager,15,Sales,High,Office,73,7,5,197,0
Consultant,19,Marketing,High,Office,48,4,0,121,0
Director,29,Customer Support,Low,Office,68,4,10,141,0
Director,28,Sales,Medium,Remote,82,2,7,220,0
Director,5,Engineering,High,Office,70,9,3,289,0
Executive,25,Engineering,Medium,Office,23,1,6,147,0
Consultant,10,Marketing,Low,Office,50,0,7,235,0
Manager,23,Sales,Low,Remote,41,8,2,229,0
Assistant,28,Customer Support,Low,Remote,18,4,3,232,0
Manager,2,Customer Support,Low,Office,61,9,8,127,0
Assistant,19,Sales,High,Remote,74,3,8,231,0
Manager,9,Marketing,Low,Remote,66,6,6,152,0
Consultant,28,Engineering,Medium,Remote,29,3,2,199,0
Assistant,27,Engineering,Medium,Remote,37,10,10,228,1
Executive,29,Customer Support,High,Office,5,1,3,178,0
Manager,30,Customer Support,Low,Office,98,8,6,233,1
Manager,0,Customer Support,High,Remote,21,7,5,187,0
Assistant,19,Engineering,High,Remote,10,3,5,282,0
Executive,10,Customer Support,High,Remote,71,7,10,151,0
Executive,25,Engineering,Low,Remote,90,8,3,176,0
Consultant,25,Engineering,Medium,Remote,28,1,9,123,0
Executive,11,Marketing,Medium,Remote,7,3,7,289,0
Executive,13,Marketing,High,Remote,86,10,8,283,1
Executive,24,Marketing,High,Office,92,5,9,192,0
Director,7,Customer Support,Medium,Office,79,6,6,251,0
Consultant,10,Engineering,Medium,Remote,34,4,7,207,0
Manager,3,Customer Support,Low,Remote,71,9,9,119,0
Assistant,27,Engineering,High,Office,71,9,1,133,0
Manager,6,Marketing,Low,Office,44,6,3,114,0
Consultant,9,Marketing,Medium,Remote,32,10,2,150,0
Assistant,18,Customer Support,Medium,Office,4,3,5,226,0
Consultant,24,Engineering,Medium,Office,61,7,1,103,0
Executive,25,Customer Support,Medium,Remote,36,2,6,152,0
Assistant,3,Sales,Low,Office,16,2,7,241,0
Executive,1,Customer Support,Medium,Remote,21,4,3,292,0
Manager,25,Marketing,High,Office,77,5,7,260,1
Manager,20,Engineering,Medium,Remote,31,2,7,223,0
Assistant,17,Engineering,High,Office,13,9,2,149,0
Assistant,13,Customer Support,Medium,Office,19,1,0,162,0
Consultant,25,Marketing,Low,Remote,21,4,10,149,0
Consultant,15,Sales,High,Office,29,9,2,192,0
Executive,21,Customer Support,Low,Office,53,5,9,173,0
Assistant,10,Engineering,Medium,Remote,32,2,0,263,0
Manager,9,Marketing,Low,Office,4,6,1,185,0
Consultant,16,Engineering,Medium,Office,17,2,7,196,0
Consultant,13,Engineering,Low,Remote,62,1,3,298,0
Manager,21,Engineering,Low,Remote,45,9,8,199,0
Consultant,3,Engineering,High,Remote,6,3,6,277,0
Executive,18,Sales,Medium,Remote,28,2,2,268,0
Assistant,1,Marketing,Low,Remote,56,6,0,197,0
Manager,6,Customer Support,Medium,Remote,46,7,0,297,0
Assistant,8,Marketing,High,Remote,8,2,0,254,0
Consultant,27,Marketing,Low,Remote,58,5,9,129,0
Consultant,18,Marketing,Medium,Office,70,0,2,259,0
Manager,15,Customer Support,Low,Office,70,4,4,121,0
Executive,21,Marketing,Low,Remote,42,1,7,168,0
Director,24,Customer Support,Low,Office,58,0,7,248,0
Manager,15,Customer Support,Low,Remote,5,6,1,155,0
Director,17,Sales,High,Office,52,9,8,183,0
Director,22,Engineering,High,Office,63,3,8,258,0
Executive,20,Customer Support,Medium,Remote,90,4,6,200,0
Director,20,Engineering,Medium,Office,3,1,9,286,0
Director,10,Marketing,Low,Office,0,7,4,297,0
Executive,6,Engineering,Low,Office,69,10,4,194,0
Director,8,Engineering,Low,Remote,30,9,7,270,0
Director,3,Engineering,High,Office,64,2,7,281,0
Director,24,Marketing,Low,Office,68,6,4,245,0
Manager,30,Marketing,Medium,Remote,18,10,5,282,1
Manager,29,Customer Support,Low,Office,68,0,5,128,0
Manager,12,Customer Support,High,Office,68,9,5,223,0
Executive,26,Sales,Low,Office,48,0,4,288,0
Consultant,25,Marketing,High,Office,30,6,8,150,0
Director,24,Sales,High,Remote,59,0,0,175,0
Director,28,Marketing,High,Remote,70,8,9,111,0
Executive,3,Engineering,High,Remote,78,8,2,192,0
Director,18,Sales,Medium,Office,54,7,6,288,1
Manager,1,Sales,High,Remote,76,7,8,170,0
Consultant,8,Sales,Medium,Office,75,3,1,243,0
Assistant,11,Marketing,Medium,Office,82,3,10,227,0
Director,1,Customer Support,Low,Remote,76,4,3,111,0
Manager,5,Sales,Low,Remote,90,8,7,161,0
Assistant,4,Customer Support,High,Remote,37,2,4,295,0
Consultant,29,Marketing,Low,Office,32,3,10,205,0
Assistant,4,Sales,High,Office,5,9,7,159,0
Manager,19,Marketing,Low,Office,12,4,10,180,0
Assistant,21,Customer Support,High,Office,76,6,1,127,0
Executive,4,Customer Support,Low,Remote,76,4,7,163,0
Assistant,26,Sales,Low,Remote,19,8,5,194,0
Director,3,Customer Support,Medium,Office,99,5,4,171,0
Director,28,Engineering,Low,Office,36,2,1,209,0
Executive,8,Engineering,Low,Remote,44,5,6,277,0
Manager,28,Sales,High,Remote,72,5,0,125,0
Director,21,Marketing,Medium,Office,80,9,5,267,1
Consultant,26,Marketing,High,Remote,98,0,2,209,0
Director,9,Marketing,Low,Office,58,6,5,282,0
Director,15,Engineering,High,Office,51,2,0,211,0
Manager,9,Customer Support,Medium,Office,17,0,0,258,0
Assistant,28,Engineering,High,Office,24,0,1,225,0
Director,9,Customer Support,Low,Remote,78,4,9,170,0
Executive,28,Engineering,High,Remote,86,9,6,212,1
Assistant,18,Marketing,Low,Office,0,9,3,104,0
Consultant,9,Marketing,Medium,Office,40,1,3,240,0
Manager,5,Marketing,Medium,Office,17,1,3,245,0
Consultant,29,Sales,High,Office,0,3,4,181,0
Assistant,16,Sales,Medium,Office,38,9,1,218,0
Assistant,4,Customer Support,High,Remote,73,10,10,149,0
Assistant,25,Sales,Low,Office,30,6,6,227,0
Consultant,5,Engineering,High,Remote,70,7,2,183,0
Assistant,30,Engineering,Low,Office,37,10,10,212,0
Consultant,26,Customer Support,Medium,Office,7,9,2,263,0
Assistant,23,Customer Support,Low,Office,33,6,10,212,0
Executive,26,Marketing,Low,Office,72,8,1,214,0
Assistant,30,Sales,Low,Remote,88,6,5,203,0
Consultant,14,Marketing,Low,Remote,26,3,3,279,0
Director,24,Sales,Low,Remote,40,8,3,132,0
Assistant,26,Sales,High,Office,6,8,7,291,1
Director,18,Customer Support,Low,Remote,31,2,1,298,0
Executive,17,Marketing,Low,Office,72,9,6,168,0
Manager,28,Marketing,Low,Office,80,7,1,195,0
Executive,3,Sales,Low,Remote,98,0,5,300,0
Assistant,7,Sales,Low,Office,15,1,4,257,0
Director,26,Customer Support,Low,Office,1,7,7,195,0
Director,15,Engineering,Medium,Remote,42,7,5,167,0
Consultant,23,Marketing,High,Remote,30,5,6,121,0
Director,18,Marketing,Low,Office,79,7,5,158,0
Consultant,19,Customer Support,High,Remote,46,7,7,107,0
Manager,2,Customer Support,Medium,Remote,32,1,1,293,0
Assistant,9,Marketing,Medium,Remote,84,2,6,136,0
Consultant,1,Marketing,Low,Office,16,6,4,198,0
Manager,3,Sales,High,Office,98,2,8,155,0
Director,5,Engineering,Low,Remote,53,10,10,288,1
Director,10,Marketing,Medium,Office,53,1,8,185,0
Manager,13,Customer Support,Medium,Office,50,5,7,164,0
Director,15,Sales,High,Remote,51,1,7,202,0
Manager,26,Sales,Low,Remote,6,1,3,269,0
Consultant,20,Customer Support,High,Remote,53,10,7,211,0
Consultant,18,Customer Support,High,Office,92,1,1,196,0
Manager,1,Sales,Medium,Office,10,3,10,276,0
Consultant,24,Customer Support,High,Office,61,6,4,167,0
Consultant,30,Sales,Medium,Office,29,5,3,236,0
Consultant,16,Customer Support,Low,Remote,81,4,4,235,0
Executive,8,Sales,High,Remote,56,3,4,157,0
Assistant,16,Marketing,High,Remote,45,1,4,205,0
Director,14,Marketing,Low,Remote,79,10,6,153,0
Executive,29,Customer Support,High,Remote,69,7,0,184,0
Consultant,6,Engineering,Low,Office,65,1,1,147,0
Manager,21,Marketing,Medium,Remote,54,10,6,281,1
Consultant,22,Sales,Medium,Office,57,7,0,204,0
Assistant,30,Engineering,High,Office,9,9,8,255,0
Consultant,18,Sales,Medium,Remote,3,3,2,200,0
Manager,29,Sales,Medium,Office,73,4,10,293,1
Assistant,2,Marketing,Low,Office,72,10,5,209,0
Consultant,28,Customer Support,Medium,Remote,61,0,3,180,0
Assistant,26,Customer Support,Medium,Office,42,1,2,227,0
Director,0,Sales,Medium,Remote,41,10,7,258,0
Director,3,Marketing,Low,Remote,23,7,1,240,0
Consultant,27,Sales,High,Office,4,0,2,158,0
Assistant,17,Engineering,Low,Office,98,2,7,181,0
Manager,25,Sales,High,Remote,67,1,2,258,0
Consultant,7,Marketing,High,Office,98,9,7,132,0
Director,18,Sales,Medium,Remote,76,4,6,217,0
Director,22,Marketing,Medium,Remote,100,3,1,152,0
Consultant,22,Customer Support,Low,Remote,95,3,0,194,0
Assistant,27,Marketing,Low,Remote,44,3,0,221,0
Director,24,Engineering,Low,Remote,58,10,1,190,0
Assistant,5,Marketing,Medium,Remote,64,3,6,220,0
Director,0,Engineering,High,Office,62,3,8,135,0
Director,7,Engineering,Low,Remote,74,5,6,296,1
Executive,0,Sales,High,Office,89,1,2,222,0
Director,18,Engineering,Medium,Office,66,3,7,133,0
Manager,10,Marketing,Medium,Office,48,6,7,220,0
Consultant,20,Customer Support,Medium,Remote,76,6,8,160,0
Consultant,23,Marketing,Medium,Remote,31,0,10,287,0
Assistant,24,Customer Support,High,Office,49,9,8,102,0
Director,14,Engineering,High,Remote,86,8,8,105,0
Manager,22,Sales,Low,Office,57,6,3,247,0
Assistant,24,Engineering,High,Remote,51,10,9,103,0
Executive,10,Engineering,High,Remote,22,5,3,200,0
Assistant,18,Customer Support,High,Remote,29,1,10,152,0
Assistant,28,Marketing,Low,Office,69,5,1,202,0
Director,20,Sales,High,Office,70,4,7,170,0
Executive,9,Sales,High,Office,29,8,1,289,0
Assistant,23,Sales,High,Remote,36,0,2,265,0
Manager,11,Sales,Medium,Remote,47,4,8,263,0
Manager,0,Marketing,High,Office,31,2,1,133,0
Consultant,23,Sales,Low,Office,69,8,0,105,0
Executive,6,Customer Support,Low,Office,34,0,4,227,0
Executive,16,Customer Support,Low,Remote,95,5,6,293,1
Consultant,28,Sales,Low,Office,75,2,3,245,0
Assistant,28,Sales,Medium,Remote,67,0,3,126,0
Executive,25,Marketing,Low,Remote,31,10,10,138,0
Manager,27,Marketing,Medium,Office,58,2,2,150,0
Manager,9,Sales,Medium,Remote,34,1,5,118,0
Director,30,Marketing,Medium,Remote,15,9,7,195,0
Executive,27,Engineering,Low,Remote,78,7,10,187,0
Assistant,5,Sales,Low,Remote,51,2,10,261,0
Consultant,16,Marketing,Medium,Office,65,10,1,188,0
Consultant,17,Customer Support,Medium,Remote,5,6,5,123,0
Assistant,4,Sales,Low,Office,13,9,7,252,0
Director,17,Sales,High,Remote,28,5,0,175,0
Consultant,29,Customer Support,High,Office,25,6,3,193,0
Executive,25,Customer Support,High,Remote,17,10,0,297,0
Director,16,Marketing,Low,Office,3,6,3,129,0
Executive,21,Customer Support,Low,Remote,100,9,10,153,0
Manager,15,Engineering,Medium,Office,56,0,8,214,0
Director,7,Sales,Low,Office,52,3,5,177,0
Consultant,23,Engineering,Low,Office,24,3,5,219,0
Director,12,Marketing,Low,Remote,46,4,4,124,0
Director,28,Customer Support,Medium,Remote,51,9,2,224,0
Director,23,Sales,Medium,Office,92,4,1,104,0
Director,15,Customer Support,High,Remote,33,7,8,101,0
Executive,10,Customer Support,High,Office,15,3,8,210,0
Manager,5,Marketing,Low,Office,100,0,6,179,0
Assistant,26,Marketing,Low,Remote,93,4,1,202,0
Director,2,Marketing,Medium,Remote,86,0,3,290,0
Consultant,0,Marketing,High,Remote,35,2,10,223,0
Director,17,Sales,High,Remote,27,7,7,281,0
Consultant,4,Engineering,High,Remote,64,9,9,265,0
Executive,12,Engineering,Low,Remote,71,4,5,223,0
Consultant,9,Sales,Low,Office,52,6,4,116,0
Assistant,4,Customer Support,Low,Office,41,0,10,130,0
Manager,25,Sales,Medium,Office,78,5,9,228,1
Consultant,13,Engineering,High,Remote,97,7,1,233,0
Consultant,16,Engineering,Medium,Office,18,5,0,169,0
Manager,0,Sales,High,Remote,43,3,0,135,0
Assistant,30,Marketing,Low,Remote,29,10,0,235,0
Director,24,Customer Support,Medium,Remote,73,7,10,192,0
Consultant,1,Sales,Medium,Office,43,7,5,172,0
Manager,6,Engineering,Low,Office,26,5,3,237,0
Executive,9,Marketing,High,Remote,83,7,10,123,0
Manager,19,Customer Support,High,Office,88,5,8,290,1
Executive,6,Engineering,High,Remote,72,3,8,267,0
Assistant,23,Customer Support,High,Remote,33,10,2,101,0
Director,15,Marketing,Low,Office,84,5,5,119,0
Manager,4,Engineering,Low,Remote,23,8,5,132,0
Consultant,28,Marketing,Low,Remote,55,7,9,113,0
Assistant,27,Sales,Low,Remote,6,6,9,281,0
Manager,11,Sales,Medium,Remote,67,4,0,154,0
Consultant,16,Customer Support,Medium,Office,50,6,8,136,0
Manager,15,Marketing,Medium,Office,7,0,3,204,0
Executive,19,Marketing,Low,Remote,55,7,5,183,0
Manager,25,Customer Support,High,Remote,76,4,9,212,0
Manager,15,Customer Support,Medium,Remote,57,6,7,233,0
Manager,18,Customer Support,Medium,Office,84,6,0,260,0
